old_qd_number,qd_number,cx,cy,r,r_A,area,area_A2,circularity,peak_value_m,local_background_m,local_height_m,local_height_nm,local_height_A,background_inner_radius_px,background_outer_radius_px,background_inner_radius_A,background_outer_radius_A,background_pixel_count,manual_status,fwhm_x_px,fwhm_y_px,fwhm_px,fwhm_x_A,fwhm_y_A,fwhm_A,mask_number,gt_match_distance_px
49.0,46,474.0,16.0,4.853342309955121,47.39592099565547,74.0,7057.18994140625,0.9001028259778735,1.6356481724599803e-09,7.081188135860116e-10,9.275293588739685e-10,0.9275293588739686,9.275293588739686,4.853342309955121,7.280013464932681,47.39592099565547,71.09388149348321,100.0,automatic,5.5956212071039335,5.669125165640455,5.632373186372194,54.64473835062435,55.36255044570757,55.00364439816596,1,1.8838148045063032
,67,6.0,24.0,8.42514715711158,82.27682770616777,223.0,21266.937255859375,0.5595280029408384,4.2291081747691806e-09,1.5869960345860081e-09,2.6421121401831726e-09,2.6421121401831726,26.421121401831726,8.42514715711158,12.637720735667369,82.27682770616777,123.41524155925164,198.0,automatic,,17.358410749860674,17.358410749860674,,169.51572997910816,169.51572997910816,2,1.0800008788370152
50.0,47,333.0,23.0,5.046265044040321,49.27993207070626,80.0,7629.39453125,0.9247985312609008,2.2082815576141e-09,8.275062579610192e-10,1.3807752996530807e-09,1.3807752996530809,13.807752996530809,5.046265044040321,7.569397566060481,49.27993207070626,73.91989810605938,96.0,automatic,8.562834139521147,6.344690694100011,7.453762416810579,83.6214271437612,61.95987005957042,72.79064860166581,3,1.453712918701631
17.0,16,94.0,28.0,5.556622981616415,54.2638963048478,97.0,9250.640869140623,0.9085922174860872,1.7460666246194023e-09,6.078509917628594e-10,1.138215632856543e-09,1.138215632856543,11.38215632856543,5.556622981616415,8.334934472424623,54.2638963048478,81.3958444572717,124.0,automatic,9.88732125874082,8.506768717169807,9.197044987955314,96.55587166739085,83.0739132536114,89.81489246050111,4,0.9564877117313947
47.0,44,432.0,32.0,4.068428945128219,39.73075141726777,52.0,4959.1064453125,0.9147087114199298,9.297925762652425e-10,1.9742367463049246e-10,7.3236890163475e-10,0.7323689016347501,7.323689016347501,4.068428945128219,6.102643417692329,39.73075141726777,59.59612712590165,72.0,automatic,6.332748418205176,3.728348917164684,5.03054866768493,61.84324627153492,36.40965739418637,49.126451832860646,5,2.6748057497351945
48.0,45,386.0,45.0,4.406461512053774,43.031850703650136,61.0,5817.413330078125,0.9678890925374926,1.3185331715348523e-09,3.127412634418292e-10,1.0057919080930231e-09,1.005791908093023,10.057919080930231,4.406461512053774,6.609692268080661,43.031850703650136,64.5477760554752,76.0,automatic,8.270291358441241,4.0100304767570965,6.140160917599169,80.76456404727774,39.16045387458102,59.962508960929384,6,2.4201296826267273
68.0,63,205.0,57.0,10.23347216512886,99.93625161258652,329.0,31375.885009765625,0.8510578619358474,4.6141725995596525e-09,5.781808087856888e-10,4.035991790773963e-09,4.035991790773963,40.35991790773963,10.23347216512886,15.350208247693288,99.93625161258652,149.90437741887976,416.0,automatic,16.08889653568403,20.285283441075737,18.18708998837988,157.11813023128934,198.0984711042552,177.60830066777228,7,1.1126654521894013
51.0,48,331.0,48.0,3.3377905890622728,32.59561122131126,35.0,3337.860107421875,1.1106924012725323,1.3955369082552236e-09,7.33667820940198e-10,6.618690873150256e-10,0.6618690873150257,6.618690873150257,3.3377905890622728,5.006685883593409,32.59561122131126,48.89341683196689,44.0,automatic,5.223644988072486,4.645144429229825,4.934394708651156,51.01215808664537,45.36273856669751,48.18744832667144,8,1.3885831863111735
30.0,27,157.0,56.0,4.51351666838205,44.07731121466846,64.0,6103.515625,0.9744990279308025,1.4725530794734711e-09,6.001281971368401e-10,8.724248823366311e-10,0.872424882336631,8.72424882336631,4.51351666838205,6.770275002573076,44.07731121466846,66.11596682200269,76.0,automatic,5.203444727121676,7.638654098280647,6.421049412701161,50.81488991329762,74.59623142852193,62.705560670909776,9,1.7887042490655072
,68,430.0,78.0,1.5957691216057308,15.583682828180963,8.0,762.939453125,1.4199491418576702,3.49039908087434e-10,-4.5509662705001114e-10,8.041365351374451e-10,0.8041365351374452,8.041365351374452,1.5957691216057308,2.5957691216057306,15.583682828180963,25.34930782818096,12.0,automatic,,1.1954938581600985,1.1954938581600985,,11.674744708594712,11.674744708594712,10,0.375
